state,year,month_name,pollutant_value,temperature,humidity,wind_speed,precipitation_total
Kedah,2024,February,54.854144046326454,29.50938315926893,71.76964751958225,3.2131690600522194,0.6639963201471941
Kedah,2024,January,48.386117136659436,28.243942237089012,77.19831116912785,2.8091702700497674,1.681801196502531
Kedah,2024,July,56.88790351188365,28.849272695408345,81.35008762705924,2.178811777076761,1.3684867629362214
Kedah,2024,June,49.271875,28.819161676646704,81.56210596356982,2.089870259481038,2.863653628117914
Kedah,2024,March,60.91868279569893,29.399519157380553,76.30548007937719,2.605625524769102,1.01857167455876
Kedah,2024,May,59.30006720430107,29.387179487179488,83.03371569950517,2.3745314140050984,5.446210970464135
Kelantan,2014,August,33.541666666666664,27.916666666666668,77.66666666666667,7.041666666666667,
Kelantan,2014,December,40.542543458371455,26.660810810810812,87.30810810810812,12.544594594594594,
Kelantan,2014,November,36.93611111111111,26.26750700280112,89.84873949579831,5.829131652661064,
Kelantan,2014,October,37.5531914893617,26.69851951547779,85.7563930013459,6.904441453566622,
Kelantan,2014,September,33.556118754525706,27.017069701280228,80.98150782361309,7.160739687055477,
Kelantan,2015,April,52.59470752089136,28.6,83.23194444444445,8.67361111111111,
Kelantan,2015,August,42.77049180327869,27.532258064516128,81.45967741935483,6.842741935483871,
Kelantan,2015,December,41.96774193548387,27.147849462365592,83.40591397849462,9.591397849462366,
Kelantan,2015,February,60.53472740851382,26.508955223880598,79.86268656716418,11.708520179372197,
Kelantan,2015,January,69.98738435660219,26.088709677419356,83.57123655913979,9.491935483870968,
Kelantan,2015,July,52.885245901639344,28.025537634408604,81.00403225806451,6.705645161290323,
Kelantan,2015,June,52.16740088105727,28.755555555555556,80.77916666666667,6.570833333333334,
Kelantan,2015,March,54.45441988950276,27.74089068825911,81.05668016194332,10.531713900134953,
Kelantan,2015,May,50.5890218156228,29.030913978494624,78.6774193548387,8.100806451612904,
Kelantan,2015,November,39.1,26.725,86.8375,6.040277777777778,
Kelantan,2015,October,66.51612903225806,27.50537634408602,82.44623655913979,6.077956989247312,
Kelantan,2015,September,59.28333333333333,27.824756606397774,79.81502086230876,6.973574408901252,
Kelantan,2016,April,54.516666666666666,29.72361111111111,75.3625,9.91388888888889,
Kelantan,2016,August,38.354838709677416,28.11036339165545,79.05383580080753,6.986541049798116,
Kelantan,2016,December,35.32258064516129,26.446236559139784,87.48387096774194,8.548387096774194,
Kelantan,2016,February,38.224137931034484,27.517241379310345,78.19683908045977,14.995689655172415,
Kelantan,2016,January,31.548387096774192,27.762803234501348,80.63477088948787,11.328840970350404,
Kelantan,2016,July,39.75409836065574,28.080645161290324,79.93279569892474,7.647849462365591,
Kelantan,2016,June,32.24561403508772,28.31388888888889,78.56527777777778,7.748611111111111,
Kelantan,2016,March,46.20967741935484,27.95945945945946,77.67702702702702,10.017567567567568,
Kelantan,2016,May,45.75806451612903,29.51478494623656,77.12903225806451,9.056451612903226,
Kelantan,2016,November,34.666666666666664,26.876216968011125,87.96662030598053,6.4965229485396385,
Kelantan,2016,October,36.9344262295082,27.36962365591398,82.61290322580645,7.463709677419355,
Kelantan,2016,September,36.13333333333333,27.923504867872044,78.64116828929068,7.762169680111266,
Kelantan,2017,April,33.74163568773234,,,,
Kelantan,2017,August,19.850155279503106,,,,
Kelantan,2017,December,26.3987915407855,,,,
Kelantan,2017,February,50.722133757961785,,,,
Kelantan,2017,January,40.51266255989049,26.439814814814813,89.80092592592592,13.671296296296296,
Kelantan,2017,July,28.28939617083947,27.161585365853657,81.2439024390244,7.762195121951219,
Kelantan,2017,June,21.57551020408163,27.441176470588236,79.07598039215686,7.514705882352941,
Kelantan,2017,March,50.496219931271476,,,,
Kelantan,2017,May,21.12295081967213,,,,
Kelantan,2017,November,18.038156947444204,,,,
